[2025-08-12 13:18:51.687840] GET /api/ from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:18:59.292973] GET /api/ from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:10.220752] GET /api/ from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:10.297837] GET /media/products/black-friday-sales-sign-neon-light.jpg from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:10.298673] GET /media/products/mobile5.jpg from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:10.337685] GET /media/products/nokia3_VOFvMBL.jpeg from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:10.355742] GET /media/products/mobile4_LUIfjQc.webp from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:10.380062] GET /media/products/pexels-kiara-coll-1519602-2928381_t6OfGT7.jpg from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:11.349555] GET /media/products/pexels-eprism-studio-108171-335257_eay9fzP.jpg from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:11.356290] GET /media/special_logo/logo1_gTifsxm.png from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:11.365126] GET /media/special/mobile1_D8FmWb2.jpg from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:11.367902] GET /media/special_logo/logo2_3FrwUpL.png from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:11.393364] GET /media/special/mobile2_ks9vjze.jpg from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:11.394975] GET /media/special_logo/logo3_7NIQyu9.webp from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:11.405459] GET /media/special/mobile3_ZVyyWNE.jpg from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:11.409952] GET /media/special_logo/logo5_1a9NqOd.png from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:11.440079] GET /media/special/mobile5_8OzjeVz.jpg from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:11.440741] GET /media/products/pexels-kiara-coll-1519602-2928381_BPHzKQV.jpg from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:11.457847] GET /media/products/pexels-valeri-mak-2319397-3989394_WlIDRKq.jpg from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:11.468108] GET /media/products/soping1.jpg from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:11.469010] GET /media/products/mobile2.jpg from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:11.471740] GET /media/products/mobile3.jpg from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:19.375516] GET /api/login/ from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:20.772400] GET /get-jwt-token-after-google-login/ from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:20.785916] GET /api/login/ from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:42.749151] POST /api/apilogin/ from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:46.646438] GET /api/ from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:46.727926] GET /media/profile_images/pexels-kiara-coll-1519602-2928381.jpg from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:56.221715] POST /api/logout/ from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:19:56.256733] GET /api/ from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:20:05.455994] GET /api/login/ from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:20:05.618501] GET /get-jwt-token-after-google-login/ from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:20:05.627039] GET /api/login/ from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:22:10.395751] GET /api/login/ from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:22:10.786459] GET /get-jwt-token-after-google-login/ from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:22:10.830743] GET /api/login/ from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:22:23.819988] GET /auth/login/google-oauth2/ from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:22:38.699438] POST /api/apilogin/ from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-08-12 13:22:42.033484] GET /api/ from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:26:39.677659] methos-> GET path-> / from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:26:44.144890] methos-> GET path-> /test from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:26:44.163971] methos-> GET path-> /test/ from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:26:44.223643] methos-> GET path-> /favicon.ico from 127.0.0.1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:34:37.324427] methos-> GET path-> / | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:34:44.071917] methos-> GET path-> /api/ | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:34:44.265179] methos-> GET path-> /media/products/mobile5.jpg | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:34:44.283587] methos-> GET path-> /media/products/black-friday-sales-sign-neon-light.jpg | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:34:44.479709] methos-> GET path-> /media/products/nokia3_VOFvMBL.jpeg | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:34:44.606918] methos-> GET path-> /media/products/mobile4_LUIfjQc.webp | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:34:44.633826] methos-> GET path-> /media/products/pexels-kiara-coll-1519602-2928381_t6OfGT7.jpg | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:34:46.414563] methos-> GET path-> /media/products/pexels-eprism-studio-108171-335257_eay9fzP.jpg | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:34:46.426353] methos-> GET path-> /media/special_logo/logo1_gTifsxm.png | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:34:46.431834] methos-> GET path-> /media/special/mobile1_D8FmWb2.jpg | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:34:46.434681] methos-> GET path-> /media/special_logo/logo2_3FrwUpL.png | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:34:46.439164] methos-> GET path-> /media/special/mobile2_ks9vjze.jpg | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:34:46.441695] methos-> GET path-> /media/special_logo/logo3_7NIQyu9.webp | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:34:46.462249] methos-> GET path-> /media/special/mobile5_8OzjeVz.jpg | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:34:46.464545] methos-> GET path-> /media/special_logo/logo5_1a9NqOd.png | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:34:46.469922] methos-> GET path-> /media/products/soping1.jpg | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:34:46.490410] methos-> GET path-> /media/special/mobile3_ZVyyWNE.jpg | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:34:46.550713] methos-> GET path-> /media/products/pexels-kiara-coll-1519602-2928381_BPHzKQV.jpg | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:34:46.683099] methos-> GET path-> /media/products/mobile2.jpg | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:34:46.703757] methos-> GET path-> /media/products/pexels-valeri-mak-2319397-3989394_WlIDRKq.jpg | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:34:47.074255] methos-> GET path-> /media/products/mobile3.jpg | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:35:09.421692] methos-> GET path-> /api/login/ | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:35:09.950602] methos-> GET path-> /get-jwt-token-after-google-login/ | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:35:09.976854] methos-> GET path-> /api/login/ | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:35:32.927915] methos-> POST path-> /api/apilogin/ | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:35:39.455514] methos-> GET path-> /api/ | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:35:39.555350] methos-> GET path-> /media/profile_images/pexels-kiara-coll-1519602-2928381.jpg | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:35:49.572102] methos-> POST path-> /api/logout/ | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 13:35:49.921947] methos-> GET path-> /api/ | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36IP->[127.0.0.1]  time->[2025-08-12 14:06:42.724817] methos-> GET path-> / | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 14:06:44.269488] methos-> GET path-> / | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 14:06:49.732555] methos-> GET path-> /api/ | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 14:06:49.921512] methos-> GET path-> /media/products/black-friday-sales-sign-neon-light.jpg | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 14:06:49.922720] methos-> GET path-> /media/products/mobile5.jpg | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 14:06:49.929085] methos-> GET path-> /media/products/nokia3_VOFvMBL.jpeg | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 14:06:49.941075] methos-> GET path-> /media/products/mobile4_LUIfjQc.webp | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 14:06:49.945982] methos-> GET path-> /media/products/pexels-kiara-coll-1519602-2928381_t6OfGT7.jpg | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 14:06:50.853020] methos-> GET path-> /api | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 14:06:50.865232] methos-> GET path-> /api/ | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 14:06:51.080997] methos-> GET path-> /media/products/pexels-eprism-studio-108171-335257_eay9fzP.jpg | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
IP->[127.0.0.1]  time->[2025-08-12 14:06:51.098270] methos-> GET path-> /media/special_logo/logo1_gTifsxm.png | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
